LG_ST_Code,State,LG_DT_Code,District,Pincode,RegistrationDate,EnterpriseName,CommunicationAddress,Activities
32,KERALA,555,ERNAKULAM,683572.0,15/06/2022,"CHEF AT HOME","CHEF AT HOME, AMBATTU HOUSE, PARAKKADAVU, CHEF AT HOME, ELAVOOR, ANGAMALY","[{""NIC5DigitId"":""10799"",""Description"":""Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like manufacture of egg powder, sambar powder etc. (this excludes the activities covered under 10619)""}]"
24,GUJARAT,439,AMRELI,365560.0,15/06/2022,"KURESHI KIRANA STORE","-, BIDI KAMDAR SOCIETY, KHAKHBAI ROAD, -, TELIPHONE EXCHANGE NI BAJU MA, RAJULA","[{""NIC5DigitId"":""47110"",""Description"":""Retail sale in non-specialized stores with food, beverages or tobacco predominating""},{""NIC5DigitId"":""47211"",""Description"":""Retail sale of cereals and pulses, tea, coffee, spices and flour""},{""NIC5DigitId"":""47212"",""Description"":""Retail sale of fresh or preserved fruit and vegetables""}]"
9,"UTTAR PRADESH",145,GHAZIABAD,201003.0,15/06/2022,"Acorn solutions","144, Tiwari premises, Lohia nagar, 144, G, Ghaziabad","[{""NIC5DigitId"":""63122"",""Description"":""Operation of other websites that act as portals to the Internet, such as media sites providing periodically updated content""}]"
27,MAHARASHTRA,466,AHMEDNAGAR,414105.0,15/06/2022,"Haridas Shrirang Darandale","1, Haridas Darandale, Juna vambori road, 1, Dattnagar, Ahmednagar","[{""NIC5DigitId"":""46305"",""Description"":""Wholesale of edible oils, fats, sugar and processed\/manufactured spices etc.""}]"
19,"WEST BENGAL",309,DARJEELING,734201.0,15/06/2022,"The Maitri Retreat","Maney Dara, Sherpa Nang, Rimbick, Maney Dara, Pulbazar CD, Darjeeling","[{""NIC5DigitId"":""55101"",""Description"":""Hotels and Motels, inns, resorts providing short term lodging facilities; includes accommodation in house boats""}]"
6,HARYANA,619,PALWAL,121102.0,13/04/2022,Vijay,"Near railway line, Adarsh colony, Railway line, Near railway line, Palwal, PalwL","[{""NIC5DigitId"":""96098"",""Description"":""General household maintenance activities like grooming of the floor, dusting, cleaning of utensils etc.""}]"
6,HARYANA,76,YAMUNANAGAR,135001.0,13/04/2022,"SABHARWAL SERVICE STATION","11-12, RAMPURA COLONY, YAMUNANAGAR, 11-12, YAMUNANAGAR, YAMUNANAGAR","[{""NIC5DigitId"":""30999"",""Description"":""Manufacture of other transport equipments n.e.c. such as pushcarts, handcarts etc""}]"
8,RAJASTHAN,92,BHILWARA,311604.0,13/04/2022,"ANUSUIYA BAIRAGI","WARD NO. 09, CHIKITSALAY KE PASS, PURANI ABADI, MANDALGARH, WARD NO. 09, MANDALGARH, MANDALGARH","[{""NIC5DigitId"":""66290"",""Description"":""Other activities auxiliary to insurance and pension funding""}]"
27,MAHARASHTRA,474,DHULE,425407.0,13/04/2022,"Tejas Computerise Clinical laboratory","12, Chimthane, Chimthane, 12, Chimthane, Chimthane","[{""NIC5DigitId"":""86905"",""Description"":""Activities of independent diagnostic\/pathological laboratories""}]"
24,GUJARAT,457,RAJKOT,360005.0,13/04/2022,"RAGHUVIR SELECTION","1, RAGHUVIR SELECTION, RAIYA ROAD NR RAIYA CIRCLE, 1, RAJKOT, RAJKOT","[{""NIC5DigitId"":""47711"",""Description"":""Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories such as gloves, ties, braces etc.""}]"
33,"TAMIL NADU",585,SIVAGANGA,630205.0,13/04/2022,"SriMathi Institute","1, Natarajan Chettiyar Complex, ASV Nagar, 1, 1, Keelasivalpatti","[{""NIC5DigitId"":""74101"",""Description"":""Fashion design related to textiles, wearing apparel, shoes, jewelry, furniture and other fashion goods as well as other personal or household goods""}]"
27,MAHARASHTRA,491,RAIGAD,410222.0,13/04/2022,"RISHABH ENTERPRISES","JD COMPLEX, MOHOPADA, BAZARPETH, JD COMPLEX, KHALAPUR, RAIGAD","[{""NIC5DigitId"":""47190"",""Description"":""Other retail sale in non-specialized stores""}]"
27,MAHARASHTRA,497,THANE,421005.0,13/04/2022,"HALIMA HOTEL","CHAWL  NO  3, AKASH COLONY, VASAR GAON ROAD, CHAWL  NO  3, SECTION 36 GAIWADPADA, THANE","[{""NIC5DigitId"":""55101"",""Description"":""Hotels and Motels, inns, resorts providing short term lodging facilities; includes accommodation in house boats""},{""NIC5DigitId"":""56101"",""Description"":""Restaurants without bars""}]"
29,KARNATAKA,530,VIJAYAPURA,586101.0,13/04/2022,"VITHAL ENTERPRISE","OPP KHADDE MASJID, SHOP NO 6 WARD NO 2, SHI NEW VITHAL MANDIR TRUST, OPP KHADDE MASJID, VISHWAS V NITSURE MANAGING, VIJAYAPUR","[{""NIC5DigitId"":""96098"",""Description"":""General household maintenance activities like grooming of the floor, dusting, cleaning of utensils etc.""}]"
29,KARNATAKA,540,HAVERI,581205.0,13/04/2022,"Channappa yallappa hosamni","11/1, HIREBENDIGERI, HIREBENDIGERI, 11/1, 11/1, Haveri","[{""NIC5DigitId"":""77100"",""Description"":""Renting and leasing of motor vehicles""}]"
29,KARNATAKA,545,MYSURU,571107.0,13/04/2022,"RAJA MILK BUSINESS","BOOTHANAHALLI, BOOTHANAHALLI, PIRIYAPATNA, BOOTHANAHALLI, ALANAHALLI, MYSORE","[{""NIC5DigitId"":""32909"",""Description"":""Manufacture of other articles n.e.c.""}]"
29,KARNATAKA,525,"BENGALURU (URBAN)",560091.0,13/04/2022,MEDIDENTONICS,"NO 15, GROUND FLOOR, SRIGANDADAKAVAL, NO 15, 2ND MAIN, BANGALORE","[{""NIC5DigitId"":""86909"",""Description"":""Other human health activities n.e.c. (including independent ambulance activities)""}]"
29,KARNATAKA,525,"BENGALURU (URBAN)",560039.0,13/04/2022,"SRI VENKATESHWARA PROVISION STORES","3, SRI VENKATESHWARA PROVISION STORES, 7th cross Vinayaka layout naya, 3, 0, BANGALORE","[{""NIC5DigitId"":""46307"",""Description"":""Wholesale of manufactured tobacco & tobacco products""}]"
33,"TAMIL NADU",578,MADURAI,625020.0,13/04/2022,"ARULMARY COOL DRINKS","5/175, PANDI KOVIL  BUS STOP, PANDI KOVIL BUS STOP, 5/175, KARUPPAYURANI, MADURAI","[{""NIC5DigitId"":""56291"",""Description"":""Activities of food service contractors (e.g. for transportation companies)""}]"
28,"ANDHRA PRADESH",520,VISAKHAPATNAM,531011.0,13/04/2022,"SUDARSHAN ENTERPRISES","P no 242, DIBBAPALEM VILLAGE, SEZ COLONY, P no 242, 0, VISAKHAPATNAM","[{""NIC5DigitId"":""81299"",""Description"":""Other building and industrial cleaning activities""}]"
33,"TAMIL NADU",569,COIMBATORE,641028.0,13/04/2022,"SELVI IRONING SHOP","16, NETHAJI STREET, KAMARAJAR COLONY, 16, NA, COIMBATORE","[{""NIC5DigitId"":""28264"",""Description"":""Manufacture of ironing machines, commercial washing and drying machines, dry-cleaning machines and other laundry machinery""}]"
9,"UTTAR PRADESH",138,ETAH,207125.0,13/04/2022,"Raj Mobile Point",",, Mirehachi, Jinhera Road, ,, Marehra, Etah","[{""NIC5DigitId"":""33140"",""Description"":""Repair of electrical equipment""}]"
27,MAHARASHTRA,474,DHULE,425406.0,13/04/2022,"GAYATRI KIRANA / SHRI SURATSING BABUSING GIRASE","VARSUS, -, -, VARSUS, -, -","[{""NIC5DigitId"":""47219"",""Description"":""Retail sale of other food products n.e.c.""},{""NIC5DigitId"":""47810"",""Description"":""Retail sale via stalls and markets of food, beverages and tobacco products""},{""NIC5DigitId"":""10503"",""Description"":""Manufacture of baby milk foods""},{""NIC5DigitId"":""10796"",""Description"":""Manufacture of papads, appalam and similar food products""},{""NIC5DigitId"":""10798"",""Description"":""Processing of salt into food-grade salt, e.g. iodized salt""}]"
29,KARNATAKA,527,BELAGAVI,591237.0,13/04/2022,"DIPAL AGENCIES","1114, Dipal Agencies, Guruwar Peth, 1114, Nippani, Nippani","[{""NIC5DigitId"":""47211"",""Description"":""Retail sale of cereals and pulses, tea, coffee, spices and flour""},{""NIC5DigitId"":""10306"",""Description"":""Manufacture of pickles, chutney etc.""}]"
19,"WEST BENGAL",315,KOLKOTA,700017.0,13/04/2022,"SUNWILL CONSUMER PRODUCTS","FLAT 61 2 ND FLOOR, KARNANI ESTATE, 209 A.J.C BOSE ROAD, FLAT 61 2 ND FLOOR, KOLKATA, KOLKATA","[{""NIC5DigitId"":""32909"",""Description"":""Manufacture of other articles n.e.c.""},{""NIC5DigitId"":""10799"",""Description"":""Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like manufacture of egg powder, sambar powder etc. (this excludes the activities covered under 10619)""}]"
19,"WEST BENGAL",317,"EAST MEDINIPUR",721172.0,13/04/2022,"PRASHANTA ENTERPRISE","NONAKURI, JANUBASAN, TAMLUK, NONAKURI, TAMLUK, PURBA MEDINIPUR","[{""NIC5DigitId"":""46309"",""Description"":""Wholesale of other basic\/manufactured food stuffs n.e.c.""}]"
27,MAHARASHTRA,490,PUNE,410505.0,13/04/2022,"ADITI LADIES TAILORS","FLAT NO- 15, GEETA APARTMENT, WADA ROAD, MALI MALA, FLAT NO- 15, KHED, PUNE","[{""NIC5DigitId"":""14105"",""Description"":""Custom tailoring""}]"
9,"UTTAR PRADESH",171,MORADABAD,244001.0,13/04/2022,"EBULLIENT ENTERPRISES","15470678, DHAKKA KI PULIYA LINEPAR, MANDI SAMITI ROAD, 15470678, MORADABAD, MORADABAD","[{""NIC5DigitId"":""96010"",""Description"":""Washing and (dry-) cleaning of textile and fur products""}]"
33,"TAMIL NADU",573,ERODE,638401.0,13/04/2022,"ROYAL BAG SHOP","-, N T ROAD, PUDUVANIYUR STREET, -, SATHY BAZAAR, SATHYAMANGALAM","[{""NIC5DigitId"":""47190"",""Description"":""Other retail sale in non-specialized stores""}]"
23,"MADHYA PRADESH",426,SATNA,485771.0,13/04/2022,MR.RRP,"House number 83, Tighrakala, rewa road ward no 4, House number 83, Maihar tighrakala, maihar","[{""NIC5DigitId"":""79110"",""Description"":""Travel agency activities""},{""NIC5DigitId"":""46524"",""Description"":""Wholesale of telephone, mobile phone and communications equipment and parts""}]"
27,MAHARASHTRA,483,"MUMBAI SUBURBAN",400091.0,13/04/2022,"DARIYA KINARA","DARIYA KINARA, GODINHO VILLA GORAI, BORIVALI, DARIYA KINARA, GORAI, BORIVALI WEST","[{""NIC5DigitId"":""56101"",""Description"":""Restaurants without bars""}]"
8,RAJASTHAN,101,HANUMANGARH,335063.0,13/04/2022,"LICHMAN SINGH","WARD NO 2, SALIWALA, HANUMANGARH, WARD NO 2, SANGARIA, HANUMANGARH","[{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""}]"
5,UTTARAKHAND,53,PITHORAGARH,262576.0,13/04/2022,"SANJAY SINGH DHAMI","1, FULTARI, DHARCHULA, 1, DHARCHULA, PITHORAGARH","[{""NIC5DigitId"":""47110"",""Description"":""Retail sale in non-specialized stores with food, beverages or tobacco predominating""}]"
8,RAJASTHAN,101,HANUMANGARH,335803.0,13/04/2022,"KULDEEP WELDING SHOP","WARD NO 5, ARAIYANWALI, ., WARD NO 5, ., 28 NDR","[{""NIC5DigitId"":""27102"",""Description"":""Manufacture of electric power distribution transformers, arc-welding transformers, fluorescent ballasts, transmission and distribution voltage regulators""}]"
3,PUNJAB,42,RUPNAGAR,140112.0,13/04/2022,"HARJIT SINGH","S/O AVTAR SINGH, RANJIT GARH COLONY, CHAMKAUR SAHIB, S/O AVTAR SINGH, S/O AVTAR SINGH, RUPNAGAR","[{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""}]"
36,TELANGANA,518,"RANGA REDDI",500068.0,13/04/2022,"Parallel Landscapes","PLOT NO 160, SRI VENKATESHWARA COLONY, BANDLAGUDA NAGOLE, PLOT NO 160, TATTIANNARAM, HYDERABAD","[{""NIC5DigitId"":""71100"",""Description"":""Architectural and engineering activities and related technical consultancy""}]"
36,TELANGANA,516,NIZAMABAD,503311.0,13/04/2022,"Talla Limbadri","Talla Limbadri, s/o TALLA BASVANNA, VAILPUR, Talla Limbadri, VILL VELPUR MDL VELPUR, VAILPUR","[{""NIC5DigitId"":""68100"",""Description"":""Real estate activities with own or leased property""}]"
33,"TAMIL NADU",573,ERODE,638102.0,13/04/2022,"Muregesh welding","Magaliyamman kovil, Murugesh  welding, Erode, Magaliyamman kovil, Erode, Erode","[{""NIC5DigitId"":""27102"",""Description"":""Manufacture of electric power distribution transformers, arc-welding transformers, fluorescent ballasts, transmission and distribution voltage regulators""}]"
33,"TAMIL NADU",589,THIRUVALLUR,602025.0,13/04/2022,"CLOUD QUEEN","89, MIG PHASE 1, TNHB, SEVVAPET ROAD, 89, TIRUR CPT, SEVVAPET","[{""NIC5DigitId"":""47912"",""Description"":""Retail sale via e-commerce""}]"
33,"TAMIL NADU",591,TIRUCHIRAPPALLI,621318.0,13/04/2022,Sakthivel,"10/83, Manangundram, Karuppur, 10/83, Manapparai, Trichirappalli","[{""NIC5DigitId"":""47810"",""Description"":""Retail sale via stalls and markets of food, beverages and tobacco products""}]"
10,BIHAR,211,"PASHCHIM  CHAMPARAN",845438.0,13/04/2022,"VIKASH ENTERPRISES","., ASHOK KUMAR JAISWAL, ., ., ., PAKHNAHA, DUMARIA","[{""NIC5DigitId"":""46633"",""Description"":""Wholesale of hardware and sanitary fittings and fixtures and flat glass including tools such as hammers, saws, screwdrivers and other hand tools""},{""NIC5DigitId"":""46639"",""Description"":""Wholesale of other construction equipment n.e.c.""}]"
3,PUNJAB,36,LUDHIANA,141122.0,13/04/2022,"M/S. NEW FATEH LOGISTICS","TIBBA WALA PUL, DEHLON ROAD, -, TIBBA WALA PUL, -, SAHNEWAL","[{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""}]"
28,"ANDHRA PRADESH",503,CHITOOR,517001.0,13/04/2022,"THIRU VIJAYAN MOTOR WORKS","PLOT NO.L13, INDUSTRIAL ESTATE, PUTTUR ROAD, PLOT NO.L13, CHITTOOR, CHITTOOR","[{""NIC5DigitId"":""71100"",""Description"":""Architectural and engineering activities and related technical consultancy""}]"
19,"WEST BENGAL",313,HOWRAH,711314.0,13/04/2022,"ROY ELECTRONICS","0, VOLANATH MARKET, SHYAMPUR, 0, SHYAMPUR-1, HOWRAH","[{""NIC5DigitId"":""47594"",""Description"":""Retail sale of refrigerators, washing machines and other electrical\/electronic household goods""},{""NIC5DigitId"":""46522"",""Description"":""Wholesale of radio, television and other consumer electronics including CD\/DVD players and recorders""}]"
32,KERALA,561,KOZHIKODE,673513.0,13/04/2022,"MALABAR ENTREPRISES","MP/VIII/172,173, PASUKKADAV, PASUKKADAV JUNCTION, MP/VIII/172,173, KUNNUMMAL, KOZHIKODE","[{""NIC5DigitId"":""46201"",""Description"":""Wholesale of cereals & pulses""}]"
36,TELANGANA,518,"RANGA REDDI",500112.0,13/04/2022,"S R ENTERPRISES","HOUSE NO.12-65, -, BADANGPET, HOUSE NO.12-65, SHANTHI NAGAR COLONY, HYDERABAD","[{""NIC5DigitId"":""46593"",""Description"":""Wholesale of electrical machinery, equipment and supplies, n.e.c.""},{""NIC5DigitId"":""46594"",""Description"":""Wholesale of construction and civil engineering machinery and equipment""},{""NIC5DigitId"":""46599"",""Description"":""Wholesale of other machinery, equipment and supplies n.e.c. including computer-controlled machine tools and computer-controlled sewing and knitting machines""},{""NIC5DigitId"":""46639"",""Description"":""Wholesale of other construction equipment n.e.c.""},{""NIC5DigitId"":""46511"",""Description"":""Wholesale of computers and computer peripheral equipment""},{""NIC5DigitId"":""46529"",""Description"":""Wholesale of other electronic equipments and parts thereof""}]"
33,"TAMIL NADU",729,Kallakurichi,607202.0,13/04/2022,"Amutha Department Shop","11, Amutha Building, West Street, 11, Pinnalavadi, Ulundurpet","[{""NIC5DigitId"":""46499"",""Description"":""Wholesale of other households goods, n.e.c. [Includes wholesale of household equipment and appliances, n.e.c; photographic equipment, games, toys and sports goods (also includes bicycles, cycle rickshaw, tonga & other non-mechanised vehicles); leather goods and travel accessories; cleaning materials etc.]""},{""NIC5DigitId"":""46306"",""Description"":""Wholesale of tea, coffee & cocoa""},{""NIC5DigitId"":""46496"",""Description"":""Wholesale of paper and other stationery items; books, magazines and newspapers""}]"
21,ODISHA,362,KHORDHA,751007.0,13/04/2022,"PRADHAN MANTRI BHARATIYA JANAUSHADI KENDRA","PLOT NO- A/5,, -, KALI MANDIR ROAD,, PLOT NO- A/5,, -, BHUBANESWAR","[{""NIC5DigitId"":""47990"",""Description"":""Other retail sale not in stores, stalls or markets""}]"
29,KARNATAKA,526,"BENGALURU (RURAL)",562129.0,13/04/2022,"Channakeshava c n","#69, Chimmasandra, Bendiganhalli, #69, 2, Bangalore","[{""NIC5DigitId"":""96098"",""Description"":""General household maintenance activities like grooming of the floor, dusting, cleaning of utensils etc.""}]"
32,KERALA,559,KOLLAM,691011.0,13/04/2022,"BIJU DRY FISH","11/3, SNEHATHEERAM TSUNAMI FLAT, ERAVIPURAM P O, 11/3, 025, KOLLAM","[{""NIC5DigitId"":""10201"",""Description"":""Sun-drying of fish""}]"
6,HARYANA,62,GURUGRAM,122001.0,13/04/2022,"INSPIRE DENTAL AND ESTHETIC CARE","206, BLOCK G, 2 FLOOR BESTECH CENTER SQUARE MALL, SECTOR 57, 206, BLOCK G, OPP HONG KONG BAZAAR, GURGAON","[{""NIC5DigitId"":""86202"",""Description"":""Dental practice activities""}]"
33,"TAMIL NADU",634,TIRUPPUR,641604.0,13/04/2022,"PADHMASRI KNITINGS","41, PADHMASRI KNITINGS, ARTHANARI CHETTIYAR VEETHI, 41, 1, tiruppur","[{""NIC5DigitId"":""13131"",""Description"":""Finishing of cotton and blended cotton textiles.""}]"
33,"TAMIL NADU",577,KRISHNAGIRI,635120.0,13/04/2022,"SMT KOKILA","4/312 B, NAGAMARATHUPALLAM, VARATANAPALLI, 4/312 B, CHINNATHIMMINAYANAPALLI, KRISHNAGIRI","[{""NIC5DigitId"":""49300"",""Description"":""Transport via pipeline""}]"
24,GUJARAT,459,SURAT,394305.0,13/04/2022,"SHREE HARIOM SALES","SHOP NO.1,2, MAHADEV COMPLEX, ., SHOP NO.1,2, ., PALSANA","[{""NIC5DigitId"":""47592"",""Description"":""Retail sale of household utensils and cutlery, crockery, glassware, china and pottery""},{""NIC5DigitId"":""47593"",""Description"":""Retail sale of gas stoves, cooking\/kitchen appliances""}]"
29,KARNATAKA,547,SHIVAMOGGA,577204.0,13/04/2022,"POPULAR TRADERS","PLOT NO 112/1, POPULAR TRADERS, 1ST MAIN ROAD, PLOT NO 112/1, AUTO COMPLEX, SHIMOGA","[{""NIC5DigitId"":""45300"",""Description"":""Sale of motor vehicle parts and accessories""}]"
10,BIHAR,198,JAMUI,811315.0,13/04/2022,"BABLU TRADERS MAKHAN BHOG","JAMUI ROAD SIKANDRA, JAMUI ROAD SIKANDRA, SIKANDRA, JAMUI ROAD SIKANDRA, SIKANDRA, JAMUI","[{""NIC5DigitId"":""81291"",""Description"":""Cleaning of trains buses, planes etc.""}]"
3,PUNJAB,29,FARIDKOT,151204.0,13/04/2022,MAMTA,"WARD NO.19, NEAR RAILWAY CROSSING, STREET NO.7, WARD NO.19, -, KOTKAPURA","[{""NIC5DigitId"":""47739"",""Description"":""Other retail sale of new goods in specialized stores n.e.c (weapons and ammunition, non food products)""}]"
9,"UTTAR PRADESH",124,BAGHPAT,250625.0,13/04/2022,"SANJNA GUDH BHANDAR","01, VPO HIMMATPUR SUJTI, SUJTI, 01, BINOLI, BARAUT","[{""NIC5DigitId"":""32909"",""Description"":""Manufacture of other articles n.e.c.""}]"
28,"ANDHRA PRADESH",520,VISAKHAPATNAM,531011.0,13/04/2022,"Krishna travels","3-11, ATCHUTAPURAM, ATCHUTAPURAM, Main road, 3-11, ATCHUTAPURAM, 1, Visakhapatnam","[{""NIC5DigitId"":""82110"",""Description"":""Combined office administrative service activities""}]"
24,GUJARAT,457,RAJKOT,360001.0,13/04/2022,"PATADIYA BHARAT PRABHUDASBHAI","-, SWARG, LAXMIWADI - 2/14 CORNER, -, NEAR RONAK APPARTMENT, RAJKOT","[{""NIC5DigitId"":""32111"",""Description"":""Manufacture of jewellery of gold, silver and other precious or base metal metal clad with precious metals or precious or semi-precious stones, or of combinations of precious metal and precious or semi-precious stones or of other materials""}]"
21,ODISHA,373,SUNDARGARH,770002.0,13/04/2022,"SHANTI GENERAL STORE","mahantiapada, SHANTI KANTA, RANGADHIPA, mahantiapada, SUNDARGARH, SUNDARGARH","[{""NIC5DigitId"":""47110"",""Description"":""Retail sale in non-specialized stores with food, beverages or tobacco predominating""}]"
6,HARYANA,63,HISAR,125001.0,13/04/2022,"RAM PHAL","1, RAM PHAL, JUGLAN, 1, 66 HISAR, HISAR","[{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""}]"
27,MAHARASHTRA,490,PUNE,411039.0,13/04/2022,"AMAR ENTERPRISES","PLOT NO A 9, AMAR ENTERPRISES, TELCO ROAD, PLOT NO A 9, INDRAYANI CORNER, PUNE","[{""NIC5DigitId"":""25933"",""Description"":""Manufacture of hand tools such as pliers, screwdrivers, press tools,blacksmiths’ tools, drills, punches, milling cutters etc.""},{""NIC5DigitId"":""28140"",""Description"":""Manufacture of bearings, gears, gearing and driving elements""},{""NIC5DigitId"":""33123"",""Description"":""Repair and maintenance of metal cutting and metal forming machine tools and accessories, power-driven hand-tools and other machine tools""}]"
36,TELANGANA,680,Nirmal,504203.0,13/04/2022,"Bhumesh Turs and travel's","8-22, Agurla, Back side cinema theatre, 8-22, 2, Khanapur","[{""NIC5DigitId"":""79120"",""Description"":""Tour operator activities""}]"
27,MAHARASHTRA,492,RATNAGIRI,415605.0,13/04/2022,"ARATI MAHESH JOGALE","01, SHANKAR PARVATI NIWAS, BURTE ALI, 01, PETH MAP, CHIPLUN","[{""NIC5DigitId"":""10795"",""Description"":""Grinding and processing of spices""},{""NIC5DigitId"":""10796"",""Description"":""Manufacture of papads, appalam and similar food products""}]"
27,MAHARASHTRA,474,DHULE,424002.0,13/04/2022,"Aai Bijasani Faunating Soda and Electricity Bill Payment Service","Shop No 4, Junya Canara Bank Javal, Ram Mandir Road, Shop No 4, Dhule, Dhule","[{""NIC5DigitId"":""10731"",""Description"":""Manufacture of cocoa products""}]"
22,CHHATTISGARH,387,RAIPUR,493221.0,13/04/2022,"SHREE SALASAR BALAJI TRANSPORT","GROUND FLOOR, VIMAL ENCLAVE, BILASPUR ROAD, GROUND FLOOR, NEAR BAGGA MACHINERY, RAIPUR","[{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""}]"
36,TELANGANA,690,"BHADRADRI KOTHAGUDEM",507117.0,13/04/2022,"SUPERMENS TAILORS","2-1-316, P K 1 CENTER, MANUGURU, 2-1-316, MANUGURU, MANUGURU","[{""NIC5DigitId"":""14105"",""Description"":""Custom tailoring""}]"
9,"UTTAR PRADESH",170,MIRZAPUR,231211.0,13/04/2022,"Shanti Furniture","Vill Mahuat, Vill Mahuat, Po Baraundha Tehsil Lalganj, Vill Mahuat, Hallia, Mirzapur","[{""NIC5DigitId"":""96098"",""Description"":""General household maintenance activities like grooming of the floor, dusting, cleaning of utensils etc.""}]"
9,"UTTAR PRADESH",120,PRAYAGRAJ,211003.0,13/04/2022,"Mahendra cosmetic","128, Katghar, Katghar road, 128, Sadar, Prayagraj","[{""NIC5DigitId"":""56291"",""Description"":""Activities of food service contractors (e.g. for transportation companies)""}]"
9,"UTTAR PRADESH",157,"KANPUR NAGAR",208017.0,13/04/2022,"STARKS LEAD PRIVATE LIMITED","LIG H.NO. 1597, A V PANKI, PANKI ROAD, LIG H.NO. 1597, KALYANPUR, KANPUR","[{""NIC5DigitId"":""73100"",""Description"":""Advertising""}]"
36,TELANGANA,507,HYDERABAD,500096.0,13/04/2022,"BRINDAVAN ENTERPRISES","8-2-293/82/PLN/258, PADMALAYA AMBEDKAR NAGAR, FILM NAGAR, 8-2-293/82/PLN/258, SHAIKPET, HYDERABAD","[{""NIC5DigitId"":""47510"",""Description"":""Retail sale of textiles in specialized stores""},{""NIC5DigitId"":""47711"",""Description"":""Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories such as gloves, ties, braces etc.""},{""NIC5DigitId"":""47820"",""Description"":""Retail sale via stalls and markets of textiles, clothing and footwear""}]"
27,MAHARASHTRA,487,NASHIK,422003.0,13/04/2022,"NEW THAKKAR CARGO MOVERS","ROW HOUSE NO. 5, OMKAR SANKUL, MHASRUL MAKHAMALABAD LINK ROAD, ROW HOUSE NO. 5, BHORGAD, NASHIK","[{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""}]"
29,KARNATAKA,525,"BENGALURU (URBAN)",560078.0,13/04/2022,"MANGALDEEP SHOWROOMS","GROUND FLOOR, NO.1828 C2, KUMARASWAMY LAYOUT, GROUND FLOOR, 14 TH CROSS, Bengaluru","[{""NIC5DigitId"":""47820"",""Description"":""Retail sale via stalls and markets of textiles, clothing and footwear""}]"
27,MAHARASHTRA,491,RAIGAD,410203.0,13/04/2022,"SHREE GANESH ENTERPRISES","ATKARGAON, SAJGAON, SAJGAON, ATKARGAON, KHOPOLI, KHALAPUR","[{""NIC5DigitId"":""30999"",""Description"":""Manufacture of other transport equipments n.e.c. such as pushcarts, handcarts etc""},{""NIC5DigitId"":""42909"",""Description"":""Other civil engineering projects n.e.c.""}]"
33,"TAMIL NADU",588,THENI,625603.0,13/04/2022,"Ramesh chicken stall","4, Thelungar street, Thelungar street, 4, 4, Periyakulam","[{""NIC5DigitId"":""96098"",""Description"":""General household maintenance activities like grooming of the floor, dusting, cleaning of utensils etc.""}]"
27,MAHARASHTRA,497,THANE,401107.0,13/04/2022,"three d rto services","007, ashish park building, back road,mira road east, 007, -, THANE","[{""NIC5DigitId"":""70200"",""Description"":""Management consultancy activities""}]"
24,GUJARAT,438,AHMADABAD,382425.0,13/04/2022,S.B.BRICKS,"2, RAGHUVIR BUNGLOW, TA : DASKROI, 2, JUNA AHMEDABAD ROAD, AHMEDABAD","[{""NIC5DigitId"":""32909"",""Description"":""Manufacture of other articles n.e.c.""}]"
5,UTTARAKHAND,47,CHAMOLI,246428.0,13/04/2022,"RANJEET HARDWARE","275, GAIRSAIN, GAIRSAIN, 275, GAIRSAIN, GAIRSAIN","[{""NIC5DigitId"":""73200"",""Description"":""Market research and public opinion polling""}]"
3,PUNJAB,36,LUDHIANA,141421.0,13/04/2022,"KAMAN BOUTIQUE RAJGARH","#, KAMAN BOUTIQUE RAJGARH, RAJGARH, #, RAJGARH, DORAHA","[{""NIC5DigitId"":""14105"",""Description"":""Custom tailoring""}]"
32,KERALA,564,PATHANAMTHIPTA,689674.0,13/04/2022,"SHIBU VARUGHESE","01, CHIRATTOLIL HOUSE, ANDGADI, 01, RANNY, PATHANAMTHITTA","[{""NIC5DigitId"":""49231"",""Description"":""Motorised road freight transport""}]"
9,"UTTAR PRADESH",123,AZAMGARH,223227.0,13/04/2022,"SARFRAZ AHMAD","MAHMOODPUR, MAHMOODPUR, BADHARIYA, MAHMOODPUR, MIRZAPUR, AZAMGARH","[{""NIC5DigitId"":""46419"",""Description"":""Wholesale of other clothing items n.e.c.""}]"
9,"UTTAR PRADESH",132,BIJNOR,246761.0,13/04/2022,"Abu Aadil Shoes House And Al Saman Leather Socks","Shop no.22, Abu Aadil Shoes House And Al Saman Leather Socks, Mohalla Mahal Saray, Shop no.22, 7, Dhampur","[{""NIC5DigitId"":""47713"",""Description"":""Retail sale of footwear""}]"
